rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list
m/1004047-children_of_the_corn,Children of the Corn,Paul Chambers,False,Rotten,Rotten,2017,The acting and special effects are particularly painful to watch.,male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,David Keyes,False,Rotten,Rotten,2019,This is not a story that was ever destined to work on film.,male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Kim Newman,False,Certified-Fresh,Fresh,2000,A classic horror that warms the heart.,mostly_female,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Keith H. Brown,False,Certified-Fresh,Fresh,2000,[A] B movie classic.,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,James Brundage,False,Certified-Fresh,Rotten,2000,"The technical material is so good, in fact, that if you might actually like the movie... if you can ignore everything else.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Brian Webster,False,Certified-Fresh,Fresh,2001,This is still a decent movie and a good example of the monster movie genre.,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,John A. Nesbit,False,Certified-Fresh,Fresh,2001,Cool creature!,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Dennis Schwartz,False,Certified-Fresh,Rotten,2001,Its solitary aim was to exploit the viewer's fear of the unknown.,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Scott Weinberg,False,Certified-Fresh,Fresh,2002,One of the best of the 1950's creature features. (By a long shot.),male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Rob Vaux,False,Certified-Fresh,Fresh,2002,"Tremendous chilling fun, whether in 3-D or no. And Julia Adams is still hot in that swimsuit.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Ken Hanke,False,Certified-Fresh,Rotten,2002,Great monster suit. Not much of a movie,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Pablo Villaça,False,Certified-Fresh,Fresh,2003,"Incluindo um curioso subtexto ecolgico, o filme envelheceu bem: pode at no assustar como na poca de seu lanamento, mas continua interessante.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Alex Sandell,False,Certified-Fresh,Fresh,2003,Creepy underwater horror flick. Ahead of its time.,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Jeffrey M. Anderson,False,Certified-Fresh,Fresh,2004,"As directed by Jack Arnold, the film suffers from silly stretches of dialogue and wooden acting, but the underwater footage is still beautiful, and Adams radiates a strong, sexy screen presence.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Stefan Birgir Stefansson,False,Certified-Fresh,Fresh,2005,Very neat,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Geoff Andrew,True,Certified-Fresh,Fresh,2006,The routine story is mightily improved by Arnold's sure sense of atmospheric locations and by the often sympathetic portrait of the monster.,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,A.H. Weiler,True,Certified-Fresh,Rotten,2006,This adventure has no depth.,unknown,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,TV Guide Staff,False,Certified-Fresh,Fresh,2007,"Imbued with great atmosphere by director Jack Arnold, the film is genuinely frightening, but also elicits a certain amount of pathos for the creature.",unknown,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Film4 Staff,False,Certified-Fresh,Fresh,2007,"The underwater sequences were excellently shot by Havens, and the make-up for the half man, half fish was a masterful creation by Bud Westmore and Jack Keven.",unknown,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Dave Kehr,True,Certified-Fresh,Fresh,2007,"Jack Arnold has a flair for this sort of thing, and if there really is anything frightening about a man dressed up in a rubber suit with zippers where the gills ought to be, Arnold comes close to finding it.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,William Brogdon,True,Certified-Fresh,Fresh,2010,"Jack Arnold's direction has done a firstrate job developing chills and suspense, and James C. Havens rates a good credit for his direction of the underwater sequences.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Rob Humanick,False,Certified-Fresh,Rotten,2011,"The beats of the film are like overused sandpaper, too worn down and tattered to have more than a passing effect.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Steve Macfarlane,False,Certified-Fresh,Fresh,2012,What distinguished Jack Arnold's pictures from mutant spinoffs/knockoffs is even more imperative to sci-fi today than it was in 1954: wonderment.,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Josh Larsen,False,Certified-Fresh,Fresh,2014,"When I was a kid, this was the movie monster I wanted to be.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Paul Chambers,False,Certified-Fresh,Fresh,2014,"Okay, it's just a guy in a rubber suit. Even people in the 1950's weren't afraid of this so-called monster. But, there's some camp value to this on-the-water and under-the-water adventure.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Milton Luban,True,Certified-Fresh,Fresh,2014,It makes for solid horror-thrill entertainment.,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Tim Brayton,False,Certified-Fresh,Fresh,2016,"The whole thing is ultimately just a '50s B-movie, but it's hard to imagine what they could have done to make it a better one.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Grant Watson,False,Certified-Fresh,Fresh,2019,This is a pulp classic with good reason.,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Mark R. Leeper,False,Certified-Fresh,Fresh,2020,This is certainly one of the most fondly remembered of the science fiction films of the 1950s.,male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Josephine O'Neill,False,Certified-Fresh,Rotten,2020,"Along comes one of those tedious, topeed expeditions, in a battered white boat, and the ""Gill-Man"" is chased, photographed, speared, half-asphyxiated, and screamed at. No wonder he commits murder (five of them).",female,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Louis Sheaffer,False,Certified-Fresh,Rotten,2020,"The boys at Universal were on a fanciful binge, putting on an enjoyable show in the water, something less in dry-dock.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Janet Graves,False,Certified-Fresh,Fresh,2020,"Short on science, the picture's long enough on excitement, strongly recalling the hit Beast from 20,000 Fathoms.",female,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Clyde Gilmour,False,Certified-Fresh,Rotten,2020,"A prehistoric man shaped fish falls in love with screaming Julia Adams in an Amazon backwater, but his courtship is a failure. So is the movie.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Sun-Herald Staff,False,Certified-Fresh,Rotten,2020,There are some effective underwater scenes; otherwise script and direction are commonplace.,unknown,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,P.S. Harrison,False,Certified-Fresh,Fresh,2020,The subject matter has been handled in a way that makes for a maximum of suspense and with an eye toward satisfying those who seek horrific chills and thrills.,unknown,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Robert Sellers,False,Certified-Fresh,Fresh,2020,"It's horribly dated, the acting's lousy, the 3D effects are worthless and the monster is a man in a rubber suit. Yet Creature from the Black Lagoon remains one of the all-time classic monster movies.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1007350-fire_and_ice,Fire and Ice,Felix Gonzalez Jr.,False,Fresh,Rotten,2009,"Its ambiguously gay villain notwithstanding, Fire and Ice just doesn't hold the weight, either visually or thematically, that its creators probably hoped it would.",male,"['Action & Adventure', 'Animation', 'Cult Movies', 'Science Fiction & Fantasy']"
m/1007350-fire_and_ice,Fire and Ice,Rob Vaux,False,Fresh,Fresh,2013,It fully conjures a universe that other movies had to infer with cheap sets and silly costumes.,male,"['Action & Adventure', 'Animation', 'Cult Movies', 'Science Fiction & Fantasy']"
m/1007350-fire_and_ice,Fire and Ice,Diego Galán,False,Fresh,Fresh,2019,"A classic style, dressed up in irony. [Full Review in Spanish]",male,"['Action & Adventure', 'Animation', 'Cult Movies', 'Science Fiction & Fantasy']"
m/1007350-fire_and_ice,Fire and Ice,Christopher Lloyd,False,Fresh,Rotten,2020,"This animated fantasy from Ralph Bakshi and Frank Frazetta is just a half-step above garbage, despite some cool elements.",male,"['Action & Adventure', 'Animation', 'Cult Movies', 'Science Fiction & Fantasy']"
m/1008588-gone_in_60_seconds,Gone in 60 Seconds,Robert Roten,False,Rotten,Rotten,2001,"The 40-minute car chase ... is one wild ride. The rest of the film, however, is sorely lacking.",male,"['Action & Adventure', 'Cult Movies', 'Drama', 'Mystery & Suspense']"
m/1008588-gone_in_60_seconds,Gone in 60 Seconds,Scott Weinberg,False,Rotten,Rotten,2002,The car wrecks pile up to boredom before the end.,male,"['Action & Adventure', 'Cult Movies', 'Drama', 'Mystery & Suspense']"
m/1008588-gone_in_60_seconds,Gone in 60 Seconds,Christopher Null,False,Rotten,Rotten,2005,"Halicki may know car chases, but he doesn't really know anything about dramatic filmmaking",male,"['Action & Adventure', 'Cult Movies', 'Drama', 'Mystery & Suspense']"
m/1008588-gone_in_60_seconds,Gone in 60 Seconds,Felix Vasquez Jr.,False,Rotten,Fresh,2007,"Has much more of an electrifying energy, and intelligence than the remake does...",male,"['Action & Adventure', 'Cult Movies', 'Drama', 'Mystery & Suspense']"
m/1008588-gone_in_60_seconds,Gone in 60 Seconds,Maitland McDonagh,False,Rotten,Fresh,2008,"Amateurish, badly acted and shot on the cheap (many sequences don't even have sync sound), this cult item features a 40-minute car chase (almost half the film's running time) that's nothing short of breathtaking.",unknown,"['Action & Adventure', 'Cult Movies', 'Drama', 'Mystery & Suspense']"
m/1008588-gone_in_60_seconds,Gone in 60 Seconds,Sean Axmaker,False,Rotten,Fresh,2016,"... perhaps the ultimate drive-in car chase movie. If that sounds like a backhanded compliment, then you don't know the sheer visceral thrill of a great tire squealing, chassis-slamming, speed demon piece of auto outlaw cinema.",male,"['Action & Adventure', 'Cult Movies', 'Drama', 'Mystery & Suspense']"
m/1012514-little_shop_of_horrors,The Little Shop of Horrors,Alex Sandell,False,Fresh,Fresh,2003,A campy Corman classic. Drink some beers and have fun with it!,male,"['Classics', 'Comedy', 'Cult Movies', 'Horror']"
m/1012514-little_shop_of_horrors,The Little Shop of Horrors,Jeffrey M. Anderson,False,Fresh,Fresh,2009,"Aside from all this surface nonsense, there's something interesting about the film (perhaps all the emphasis on eating and mouths).",male,"['Classics', 'Comedy', 'Cult Movies', 'Horror']"
m/1012514-little_shop_of_horrors,The Little Shop of Horrors,Steve Biodrowski,False,Fresh,Fresh,2010,"Whether the film fully lives up to its reputation is another matter, but there is no doubt that The Little Shop of Horrors has earned its small place in cult movie history.",male,"['Classics', 'Comedy', 'Cult Movies', 'Horror']"
m/1012514-little_shop_of_horrors,The Little Shop of Horrors,Danny Anderson,False,Fresh,Fresh,2020,"Before inspiring all of the catchy musical numbers, Corman's film remains an absurd, slapstick comedy with a sharp mix of stark depression.",male,"['Classics', 'Comedy', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Wesley Morris,False,Certified-Fresh,Fresh,2000,It's the funniest but most real-looking horror film ever made.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Keith H. Brown,False,Certified-Fresh,Fresh,2000,"Shocks come from the way in which Romero repeatedly presents a clichd situations in which we think we know what's going on, only for Romero to pull out the rug from underneath, thereby producing a greater shock.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Marjorie Baumgarten,False,Certified-Fresh,Fresh,2000,Gets under your skin and burrows into your blood and psyche.,female,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,James Kendrick,False,Certified-Fresh,Fresh,2001,reinvented the American horror film,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Almar Haflidason,True,Certified-Fresh,Fresh,2001,"There is a resounding lack of sentimentality that cuts through the death and chaos, as a desperate bunch of people fight to stay alive.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Christopher Null,False,Certified-Fresh,Fresh,2002,This disc is done right!,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Jeremy Heilman,False,Certified-Fresh,Fresh,2002,"I can't underrate its intangible ability to bypass my rationale and lunge straight at my subconscious. When it's really cooking, it's the scariest film I've ever seen.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,John A. Nesbit,False,Certified-Fresh,Fresh,2002,It's the anticipation of horrible scenarios that makes the film work so well.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Blake Davis,False,Certified-Fresh,Fresh,2003,"A spare, disturbing classic.",mostly_male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Brian Mckay,False,Certified-Fresh,Fresh,2003,"This film managed to successfully mesh the concepts of flesh-eating zombies, isolation, and global panic realized on a claustrophobic and intimate scale.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Vincent Canby,True,Certified-Fresh,Rotten,2003,"The dialogue and background music sound hollow, as if they had been recorded in an empty swimming pool, and the wobbly camera seems to have a fetishist's interest in hands.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Ken Hanke,False,Certified-Fresh,Fresh,2003,Landmark horror film somewhat blunted by bad acting.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Pablo Villaça,False,Certified-Fresh,Fresh,2004,Ainda hoje permanece como um dos melhores do gnero.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Jeffrey M. Anderson,False,Certified-Fresh,Fresh,2004,"Night of the Living Dead happens to rank squarely with the greatest films ever made, period.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Luke Y. Thompson,False,Certified-Fresh,Fresh,2004,"Sorry, but it really isn't that scary in this day and age.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Thomas Delapa,False,Certified-Fresh,Fresh,2004,Maybe the best movie ever made in Pittsburgh.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,James O'Ehley,False,Certified-Fresh,Fresh,2004,"The latest ""Ultimate Edition"" features a digitally colourised version as well as an audio commentary by Mike Nelson.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Walter Chaw,False,Certified-Fresh,Fresh,2004,"A tightly-edited, claustrophobically-framed horror film that retains, along with its relevance, its ability to startle and appall.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Michael A. Smith,False,Certified-Fresh,Fresh,2004,The grandaddy of them all. Created a whole new genre',male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Dennis Schwartz,False,Certified-Fresh,Fresh,2005,A doozie.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Alex Sandell,False,Certified-Fresh,Fresh,2005,"One of the best films ever made, and possibly the most influential horror movie of all time.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Nigel Floyd,True,Certified-Fresh,Fresh,2006,"Chuckle, if you can, during the first few minutes; because after that laughter catches in the throat as the clammy hand of terror tightens its grip.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Anton Bitel,False,Certified-Fresh,Fresh,2007,"This is horror at its most probing, subversive and socially aware, with a truly harrowing ending that reveals the dangers of misdirected fear and prejudice.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Film4 Staff,False,Certified-Fresh,Fresh,2007,A quarter of a century old and it is still absolutely terrifying.,unknown,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Elliott Stein,True,Certified-Fresh,Fresh,2007,"George Romero's remarkably assured debut, made on a shoestring, about a group of people barricaded inside a farmhouse while an army of flesh-eating zombies roams the countryside, deflates all genre clichs.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Dave Kehr,True,Certified-Fresh,Fresh,2007,"Over its short, furious course, the picture violates so many strong taboos -- cannibalism, incest, necrophilia -- that it leaves audiences giddy and hysterical.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Roger Ebert,True,Certified-Fresh,Fresh,2007,I felt real terror in that neighborhood theater last Saturday afternoon. I saw kids who had no resources they could draw upon to protect themselves from the dread and fear they felt.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Donald J. Levit,False,Certified-Fresh,Rotten,2007,Seldom have so many pundit parses and public praises owed so much to so little as in the case of the career-launching 'Night of the Living Dead.',male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Jeremiah Kipp,False,Certified-Fresh,Fresh,2008,There's a brute force in Night of the Living Dead that catches one in the throat.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Lucius Gore,False,Certified-Fresh,Fresh,2008,Arguably the greatest horror film ever made - and one of the greatest in any genre - 'Night' is also the ultimate B-movie.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Sean Axmaker,False,Certified-Fresh,Fresh,2008,This little seat-of-the-pants regional production chewed up and spit out taboos like raw meat in a feral feeding frenzy.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Steve Biodrowski,False,Certified-Fresh,Fresh,2008,George Romero set a new standard for horror with this low-budget opus.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Variety Staff,True,Certified-Fresh,Fresh,2008,Although pic's basic premise is repellent -- recently dead bodies are resurrected and begin killing human beings in order to eat their flesh -- it is in execution that the film distastefully excels.,unknown,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Cole Smithey,False,Certified-Fresh,Fresh,2010,"Romero saw the enemy, and they are the zombie masses among us. There is nowhere safe to hide.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Josh Larsen,False,Certified-Fresh,Fresh,2010,"The racial subtext spoke volumes in 1968. Once the zombies start knocking, only a fool would cling to segregation.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Tim Dirks,False,Certified-Fresh,Fresh,2010,"Night of the Living Dead (1968) was director George Romero's most notable genre-defining, classic zombie horror film -- it quickly became his calling card, and was responsible for making him influentially known as the Master of the modern 'zombie film'",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Charles Cassady,False,Certified-Fresh,Fresh,2010,Oft-copied zombie classic is still intense and gory.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Christopher Lloyd,False,Certified-Fresh,Fresh,2011,"""Night of the Living Dead"" became a seminal film without being a particularly good one. It nudged horror movies away from creepy-but-family-friendly into adult films featuring gruesome violence and nihilistic overtones.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Kim Newman,False,Certified-Fresh,Fresh,2011,The original and the best.,mostly_female,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Felix Vasquez Jr.,False,Certified-Fresh,Fresh,2012,"It's pitch perfect in writing, mood, and scares, and still holds up to scrutiny, no matter how harsh.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Rob Humanick,False,Certified-Fresh,Fresh,2013,Subjects us to the kind of unrelenting nightmare we only wish we could wake up from.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Amos Barshad,True,Certified-Fresh,Fresh,2013,"If [Romero's] original vision of the undead looks dulled by today's standards, his embedded political commentary on racism feels just as sharp.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Alan Jones,False,Certified-Fresh,Fresh,2013,Director George A Romero redefined the meaning of horror for fear-sated audiences in the 1960s with this seminal classic.,male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Tim Brayton,False,Certified-Fresh,Fresh,2015,"Carve[s] open the guts of American culture, using violence and even the horror genre itself as a tool rather than an end.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,April Wolfe,True,Certified-Fresh,Fresh,2017,"The immediate, quasi-documentary feel, a result of budgetary constraints, actually served the film's horror, jolting audiences because it all seemed just a little too real.",female,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Andrew Pollard,False,Certified-Fresh,Fresh,2018,"All in all, Night of the Living Dead is obviously just as marvellous as it's always been.",male,"['Classics', 'Cult Movies', 'Horror']"
m/1015052-night_of_the_living_dead,Night of the Living Dead,Matt Brunson,False,Certified-Fresh,Fresh,2018,"A landmark of American cinema. Intentional or not, the film's sociopolitical content remains as potent as ever.",male,"['Classics', 'Cult Movies', 'Horror']"
