rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/bridesmaids_2011,Bridesmaids,Kristian M. Lin,False,Certified-Fresh,Fresh,2016,"The sweet, blissful buzz that accompanies the end of this comedy masterpiece will make you feel like you've just watched your own best friend get happily married.",male,['Comedy'],"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.9806}",0.9806
m/a-good-old-fashioned-orgy,A Good Old Fashioned Orgy,Perri Nemiroff,False,Rotten,Fresh,2011,"There are a fair dose of improbable plot points, but thanks to good parties, good people and a perfect pace, nothing comes close to spoiling the fun this one has to offer.",unknown,['Comedy'],"{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.9804}",0.9804
m/1197696-fantastic_mr_fox,Fantastic Mr. Fox,James Rocchi,True,Certified-Fresh,Fresh,2009,"Cool, clever, crafty and delirious amounts of fun, ""Fantastic Mr. Fox"" is full of brilliant visual invention and silly slapstick while also having hip humor and sly smarts -- it's pure movie-going joy and a rare kind of pleasure.",male,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']","{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.9799}",0.9799
m/500_days_of_summer,500 Days of Summer,Robbie Collin,False,Certified-Fresh,Fresh,2009,"Sparklingly funny, beautifully heartfelt, wonderfully uplifting and brilliantly performed. In short, it's the best romantic film since . . . well, what exactly?",male,"['Comedy', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.308, 'pos': 0.692, 'compound': 0.9799}",0.9799
m/1189629-the_great_buck_howard,The Great Buck Howard,Felicia Feaster,False,Fresh,Fresh,2020,"The Great Buck Howard has a pleasantly rueful approach. Instead of the scatological humor in raucous bromances like I Love You, Man, The Great Buck Howard offers a more low-key thoughtfulness about how success is defined.",female,"['Comedy', 'Drama']","{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.9798}",0.9798
m/about_a_boy,About a Boy,David Poland,False,Certified-Fresh,Fresh,2002,"About A Boy is a great love story... love of parent to child and child to parent, love of self, the platonic love of someone you never saw coming and ultimately, the love you thought you could never have and would never want, which changes you forever.",male,"['Comedy', 'Drama', 'Romance']","{'neg': 0.019, 'neu': 0.591, 'pos': 0.39, 'compound': 0.9796}",0.9796
m/booksmart,Booksmart,Joelle Monique,False,Certified-Fresh,Fresh,2019,"A perfect balance between sexualized/gross-out humor and sincere admiration for one of the wildest emotional periods of a human being's life, Booksmart screens like a love letter to that best friend who was closer to a life partner than a school chum.",female,['Comedy'],"{'neg': 0.0, 'neu': 0.503, 'pos': 0.497, 'compound': 0.9792}",0.9792
m/chef_2014,Chef,Lewis Beale,False,Certified-Fresh,Fresh,2014,"Like all good foodie movies, Chef works not only because of the cooking scenes, but because it is a beautiful portrayal of the passion and love the best chefs have while cooking food for other people.",male,['Comedy'],"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.9791}",0.9791
m/a_dogs_purpose,A Dog's Purpose,Francesca Rudkin,False,Rotten,Fresh,2017,"Yes, it's filled with schmaltzy moments and lines, but the canine stars are adorable, and dog lovers will enjoy this nice, gentle and slightly weird take on loving and losing a pet.",female,"['Comedy', 'Drama']","{'neg': 0.09, 'neu': 0.395, 'pos': 0.515, 'compound': 0.979}",0.979
m/21_and_over,21 And Over,Perri Nemiroff,False,Rotten,Fresh,2013,"Lucas and Moore's work is sophomoric at best, but Teller, Astin and Chon are talented and charming enough to keep you engaged and, for the most part, enjoying the party.",unknown,['Comedy'],"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.9785}",0.9785
m/1038726-beethoven,Beethoven,Chris Hicks,False,Rotten,Rotten,2000,"The first half of the film is amusing, but when it turns to a distasteful subplot that has an evil veterinarian/scientist stealing pets for nasty experiments, it goes sour.",mostly_male,"['Comedy', 'Kids & Family', 'Special Interest']","{'neg': 0.384, 'neu': 0.573, 'pos': 0.043, 'compound': -0.9535}",-0.9535
m/around_the_world_in_80_days,Around the World in 80 Days,Mike McGranaghan,False,Rotten,Rotten,2004,The style of humor - with its forced high jinks and pathetic attempts at farce - is so aggressively outrageous that it ultimately becomes abusive to the audience.,male,"['Action & Adventure', 'Comedy', 'Kids & Family']","{'neg': 0.48, 'neu': 0.468, 'pos': 0.052, 'compound': -0.9543}",-0.9543
m/cheaper_by_the_dozen,Cheaper by the Dozen,Dustin Putman,False,Rotten,Rotten,2003,"Syrupy, dumb, and desperately unfunny...Cheaper by the Dozen is the worst family film of the year, a sub-sitcom-level failure as abhorrent as it is half-baked.",male,"['Comedy', 'Kids & Family']","{'neg': 0.478, 'neu': 0.522, 'pos': 0.0, 'compound': -0.9545}",-0.9545
m/bad_santa_2,Bad Santa 2,Linda Cook,False,Rotten,Rotten,2016,"'Bad Santa' was bad. 'Bad Santa 2' is bad, bad.",female,['Comedy'],"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.9552}",-0.9552
m/1088763-underground,Underground,Michael Wilmington,True,Fresh,Fresh,2014,Kusturica takes us from wacky farce to harrowing grief to lyrical fantasy to bloody horror. To ignore any side of Underground is to do it injustice.,male,"['Art House & International', 'Comedy', 'Drama']","{'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.9565}",-0.9565
m/bad_santa_2,Bad Santa 2,Leigh Paatsch,False,Rotten,Rotten,2016,"No one saw a Bad Santa sequel coming. And no one will be coming to see Bad Santa 2, once they get a whiff of the pungent stench of stale jokes and grim misanthropy wafting off this ugly, uninspired comedy.",mostly_female,['Comedy'],"{'neg': 0.399, 'neu': 0.52, 'pos': 0.081, 'compound': -0.957}",-0.957
m/a_haunted_house,A Haunted House,Jennifer Tate,False,Rotten,Rotten,2013,"This send up of the Paranormal Activity films provides a few laughs here and there, but for the most part its crude and clichd script is ridiculously stupid, embarrassingly over the top and occasionally offensive.",female,['Comedy'],"{'neg': 0.393, 'neu': 0.524, 'pos': 0.083, 'compound': -0.9581}",-0.9581
m/2_days_in_new_york,2 Days in New York,Tasha Robinson,True,Fresh,Rotten,2012,"Without so much as a wink, it presents the French as racist, stinky, crude, self-absorbed, and obnoxious. It isn't a culture-clash comedy, so much as culture character assassination.",female,"['Comedy', 'Drama']","{'neg': 0.49, 'neu': 0.51, 'pos': 0.0, 'compound': -0.9596}",-0.9596
m/barbarian_invasions,The Barbarian Invasions (Les Invasions barbares),David Elliott,False,Certified-Fresh,Rotten,2003,"Arcand dearly likes his characters, but here's another movie cancer death nearly devoid of mess and stress, with available heroin and a lovably comforting sunset.",male,"['Art House & International', 'Comedy', 'Drama']","{'neg': 0.493, 'neu': 0.347, 'pos': 0.16, 'compound': -0.9604}",-0.9604
m/arizona_2018,Arizona,Robert Kojder,False,Rotten,Rotten,2018,"The goal here certainly isn't to empower women, but rather abuse them and, adding insult to injury, have them stumble around falling over during foot chases and make all sorts of groan-inducing mistakes",male,"['Comedy', 'Horror']","{'neg': 0.4, 'neu': 0.565, 'pos': 0.036, 'compound': -0.9607}",-0.9607
m/1087053-go,Go,J. Hoberman,True,Certified-Fresh,Fresh,2000,"A disaster film with an exceedingly witty premise. Instead of a terrorist, volcano, or extraterrestrial invasion, catastrophe is precipitated by the madcap behavior of rash and reckless American youth.",unknown,"['Comedy', 'Drama']","{'neg': 0.458, 'neu': 0.542, 'pos': 0.0, 'compound': -0.9618}",-0.9618
m/aloha_2015,Aloha,Andrew Lapin,True,Rotten,Rotten,2015,"Crowe displays a willingness to reach for ambitious ideas and big-hearted, emotionally naked moments that other name-brand filmmakers are too terrified to explore. Aloha is a big mess, but it's also at war with American cynicism, and wars get messy.",male,"['Action & Adventure', 'Comedy']","{'neg': 0.388, 'neu': 0.528, 'pos': 0.085, 'compound': -0.962}",-0.962
m/1153907-football_factory,The Football Factory,Rich Cline,False,Rotten,Rotten,2004,"Filmmaker Love brings these characters to vivid life, but they're all so hateful, racist and idiotic that we don't like them at all!",mostly_male,"['Action & Adventure', 'Art House & International', 'Comedy', 'Documentary', 'Drama']","{'neg': 0.486, 'neu': 0.449, 'pos': 0.065, 'compound': -0.963}",-0.963
m/1190660-over_my_dead_body,Over Her Dead Body,Peter Sobczynski,False,Rotten,Rotten,2008,"""Over Her Dead Body"" tells the story of an obnoxious and thoroughly unpleasant woman who dies in the first scene and still continues to annoy and aggravate. Unfortunately,it turns out that the film itself suffers from the same condition.",male,"['Comedy', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.38, 'neu': 0.62, 'pos': 0.0, 'compound': -0.9647}",-0.9647
m/bad_kids_go_to_hell,Bad Kids Go to Hell,Charles Ealy,False,Rotten,Fresh,2012,"The movie suffers from several implausibilities, and as you can probably tell, it isn't high art. But horror movies usually tap into our secret fears and desires, and Bad Kids Go to Hell does so quite well.",male,"['Comedy', 'Mystery & Suspense']","{'neg': 0.389, 'neu': 0.549, 'pos': 0.062, 'compound': -0.9659}",-0.9659
m/a_haunted_house_2,A Haunted House 2,Bruce DeMara,True,Rotten,Rotten,2014,"A movie for morons that is offensive on so many levels. It is loud, profane and profoundly stupid. One has to question how a film so awful could even be made, it is that bad. Most regrettably, it is not funny, not even a tiny bit.",male,['Comedy'],"{'neg': 0.377, 'neu': 0.623, 'pos': 0.0, 'compound': -0.9673}",-0.9673
m/a_haunted_house_2,A Haunted House 2,John Semley,True,Rotten,Rotten,2014,"A Haunted House 2 is dumber than dumb dumb, which at least has the nerve to be unapologetically dumb. Worse, it's Wayans dumb.",male,['Comedy'],"{'neg': 0.61, 'neu': 0.39, 'pos': 0.0, 'compound': -0.9678}",-0.9678
m/a-wedding-for-bella,A Wedding for Bella,Steve Rhodes,False,Rotten,Rotten,2003,Bella is the picture of health with boundless energy until a few days before she dies. This is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer.,male,"['Comedy', 'Drama', 'Romance']","{'neg': 0.422, 'neu': 0.541, 'pos': 0.037, 'compound': -0.9721}",-0.9721
m/bratz_the_movie,Bratz: The Movie,Eric D. Snider,False,Rotten,Rotten,2007,"Bad not for its message or values, but for simply being a flat-out awful abortive trainwreck of a disastrous pile of worthless stupid garbage of an utter mess of a movie, even by the low, low standards of Movies Based on Toys.",male,"['Comedy', 'Kids & Family']","{'neg': 0.473, 'neu': 0.496, 'pos': 0.031, 'compound': -0.9813}",-0.9813
m/american_animals,American Animals,Roe McDermott,False,Certified-Fresh,Fresh,2018,"But as the men learn, violent crime isn't fun, or glamorous - it's terrifying and anxiety-laden and ultimately, doomed. But my god, is it fun to watch.",unknown,"['Comedy', 'Drama', 'Mystery & Suspense']","{'neg': 0.605, 'neu': 0.344, 'pos': 0.051, 'compound': -0.9861}",-0.9861
